"indiv_id","sexF","consY","land","cattle51plus","smlstk101plus","buildingsMud","buildingsIron","vehicle","ageset2","ageset3","ageset4","educated","settlementYears","hhsize","olmareiHead","leadership"
208,0,0,0,0,0,2,0,0,0,0,0,0,40,19,1,0
209,0,0,140,1,1,0,0,0,0,0,0,1,24,13,0,0
210,0,0,35,0,1,2,0,0,0,0,0,0,30,5,1,0
211,0,0,35,0,1,2,0,0,0,0,0,0,47,23,1,0
212,1,1,302,1,0,0,1,1,0,0,0,1,20,5,0,1
213,1,1,230,0,0,0,1,0,0,1,0,1,2,3,0,1
214,1,1,301,1,0,0,1,1,0,1,0,1,27,8,0,1
215,1,1,180,0,0,1,0,0,0,1,0,0,11,5,0,0
216,1,1,130,0,0,1,0,0,0,0,1,0,35,5,0,0
217,1,1,80,0,0,1,0,0,0,0,1,0,26,6,1,1
218,1,1,120,0,0,0,1,0,0,0,0,1,4,4,0,0
219,1,1,100,0,0,0,1,1,0,0,0,1,7,5,0,0
220,1,1,80,0,0,0,1,0,0,0,0,0,32,6,0,0
221,1,1,130,0,0,1,0,0,0,1,0,0,17,7,0,0
222,1,0,80,0,0,1,0,0,0,1,0,0,7,5,1,0
223,1,0,120,0,0,1,1,0,0,0,0,0,3,8,0,0
224,1,0,42,1,0,1,1,1,0,0,0,0,6,4,0,0
225,1,0,70,1,1,1,1,1,0,1,0,0,5,6,0,0
226,1,0,46,0,1,1,1,0,0,0,0,0,3,3,0,0
227,1,0,100,1,1,2,1,0,0,1,0,1,7,8,0,0
228,1,0,42,1,0,1,0,0,0,0,0,1,4,5,0,0
229,1,0,150,1,0,1,1,0,0,1,0,0,8,10,1,0
230,1,0,42,1,0,1,1,1,0,0,0,1,3,3,0,0
231,1,0,46,1,1,1,1,1,0,1,0,0,5,7,0,0
232,0,1,86,0,1,0,1,1,0,0,0,1,29,5,1,0
233,0,1,200,1,0,0,0,0,0,0,1,0,51,40,1,0
234,0,1,350,0,0,0,1,0,0,0,0,1,28,10,1,0
235,0,1,80,0,0,0,1,0,0,0,0,1,26,5,1,0
236,0,1,35,1,0,0,2,0,0,1,0,0,20,9,1,0
237,0,1,174,0,0,1,1,0,0,1,0,1,39,7,1,0
238,0,1,150,0,0,0,7,0,0,0,0,1,27,4,1,0
239,0,1,150,0,1,0,1,1,0,0,0,0,34,7,1,0
240,0,1,170,1,1,0,1,1,0,0,0,1,34,7,1,0
241,0,1,130,0,0,1,1,0,0,1,0,1,49,8,1,0
242,1,1,150,0,0,0,2,1,0,0,0,0,11,5,0,1
243,1,1,180,1,0,0,1,1,0,0,1,1,12,7,0,1
244,1,1,80,0,0,1,0,0,0,0,1,0,29,5,0,0
245,1,1,80,0,0,0,2,0,0,0,0,1,6,6,0,0
246,1,1,120,0,0,0,2,1,0,1,0,1,11,5,0,1
247,1,1,70,0,0,1,0,0,0,0,0,0,29,8,0,0
248,1,1,90,0,0,0,1,0,0,0,1,0,24,5,0,1
249,1,1,120,0,0,1,1,0,0,1,0,0,17,7,0,0
250,1,1,80,0,0,1,0,0,0,0,0,0,7,5,0,0
251,1,1,120,0,0,1,0,0,0,0,0,0,26,6,0,0
252,1,1,80,1,1,1,1,1,0,0,0,1,4,6,0,0
253,1,1,150,1,1,1,0,0,0,1,0,0,6,9,1,1
254,1,1,150,1,0,1,2,0,0,1,0,0,7,7,0,0
255,1,1,50,1,0,1,1,1,0,0,0,1,3,4,0,1
256,1,1,75,0,1,1,2,0,0,0,0,0,10,6,0,0
257,0,0,50,1,1,4,1,1,0,0,0,0,32,20,1,0
258,0,0,265,1,1,1,1,0,0,1,0,1,23,13,1,0
259,0,0,150,1,1,1,1,1,0,0,0,0,32,17,1,1
260,0,0,100,1,1,3,1,0,0,0,0,0,35,19,1,0
261,0,0,22,1,1,1,2,1,0,0,0,0,27,13,1,1
262,0,0,0,0,0,1,0,0,0,1,0,0,42,8,1,0
263,0,0,20,0,1,2,0,0,0,0,0,0,4,12,1,0
