"choice","access","cattle","cons150","cons75","cult","smlstk","wage","indiv_id","choice_id"
1,0,-60,-1,1,-5,0,4000,359,14
0,-1,-40,0,0,5,0,0,360,3
0,-1,0,1,-1,0,0,-10000,360,7
0,-1,100,0,0,0,0,-4000,360,2
1,0,0,0,0,-5,-80,10000,360,4
0,-1,-100,0,-1,0,200,0,360,8
1,0,-60,-1,1,5,0,0,360,1
1,0,40,1,0,0,80,10000,360,5
0,0,0,0,1,5,0,-10000,360,6
1,0,60,1,0,0,120,0,361,12
0,0,-60,-1,1,-5,0,4000,361,14
0,0,-40,-1,1,-5,0,-4000,361,13
0,1,0,1,-1,5,0,-6000,361,11
0,1,0,-1,0,0,-200,0,361,15
0,1,-60,0,-1,0,0,6000,361,10
1,1,100,0,1,0,-200,0,361,16
0,0,60,0,-1,-5,80,4000,361,9
1,0,60,1,0,0,120,0,362,12
1,0,-40,-1,1,-5,0,-4000,362,13
0,0,-60,-1,1,-5,0,4000,362,14
0,1,0,-1,0,0,-200,0,362,15
1,1,-60,0,-1,0,0,6000,362,10
1,1,0,1,-1,5,0,-6000,362,11
1,0,60,0,-1,-5,80,4000,362,9
1,1,100,0,1,0,-200,0,362,16
1,-1,0,1,-1,0,0,-10000,363,7
0,0,0,0,0,-5,-80,10000,363,4
0,-1,-100,0,-1,0,200,0,363,8
0,-1,-40,0,0,5,0,0,363,3
0,-1,100,0,0,0,0,-4000,363,2
1,0,40,1,0,0,80,10000,363,5
1,0,-60,-1,1,5,0,0,363,1
1,0,0,0,1,5,0,-10000,363,6
1,0,40,1,0,0,80,10000,364,5
0,-1,-100,0,-1,0,200,0,364,8
0,-1,100,0,0,0,0,-4000,364,2
1,0,0,0,0,-5,-80,10000,364,4
1,0,-60,-1,1,5,0,0,364,1
0,-1,-40,0,0,5,0,0,364,3
1,0,0,0,1,5,0,-10000,364,6
0,-1,0,1,-1,0,0,-10000,364,7
0,0,-40,-1,1,-5,0,-4000,365,13
0,1,-60,0,-1,0,0,6000,365,10
1,1,0,1,-1,5,0,-6000,365,11
1,0,-60,-1,1,-5,0,4000,365,14
1,1,100,0,1,0,-200,0,365,16
1,1,0,-1,0,0,-200,0,365,15
1,0,60,0,-1,-5,80,4000,365,9
1,0,60,1,0,0,120,0,365,12
0,1,-60,0,-1,0,0,6000,366,10
0,0,-60,-1,1,-5,0,4000,366,14
0,0,-40,-1,1,-5,0,-4000,366,13
0,1,0,-1,0,0,-200,0,366,15
1,0,60,0,-1,-5,80,4000,366,9
1,1,100,0,1,0,-200,0,366,16
1,0,60,1,0,0,120,0,366,12
1,1,0,1,-1,5,0,-6000,366,11
0,0,40,1,0,0,80,10000,367,5
1,0,0,0,0,-5,-80,10000,367,4
1,0,-60,-1,1,5,0,0,367,1
1,0,0,0,1,5,0,-10000,367,6
0,-1,-40,0,0,5,0,0,367,3
0,-1,0,1,-1,0,0,-10000,367,7
0,-1,100,0,0,0,0,-4000,367,2
0,-1,-100,0,-1,0,200,0,367,8
1,0,0,0,0,-5,-80,10000,368,4
1,-1,-40,0,0,5,0,0,368,3
0,-1,-100,0,-1,0,200,0,368,8
1,0,0,0,1,5,0,-10000,368,6
0,-1,100,0,0,0,0,-4000,368,2
0,0,-60,-1,1,5,0,0,368,1
1,0,40,1,0,0,80,10000,368,5
0,-1,0,1,-1,0,0,-10000,368,7
0,0,-40,-1,1,-5,0,-4000,369,13
1,1,-60,0,-1,0,0,6000,369,10
1,1,100,0,1,0,-200,0,369,16
1,1,0,-1,0,0,-200,0,369,15
1,0,-60,-1,1,-5,0,4000,369,14
0,0,60,0,-1,-5,80,4000,369,9
0,0,60,1,0,0,120,0,369,12
0,1,0,1,-1,5,0,-6000,369,11
1,1,100,0,1,0,-200,0,370,16
1,1,0,-1,0,0,-200,0,370,15
1,1,-60,0,-1,0,0,6000,370,10
1,0,60,1,0,0,120,0,370,12
1,0,-60,-1,1,-5,0,4000,370,14
0,0,60,0,-1,-5,80,4000,370,9
0,0,-40,-1,1,-5,0,-4000,370,13
0,1,0,1,-1,5,0,-6000,370,11
0,0,60,1,0,0,120,0,371,12
0,0,-40,-1,1,-5,0,-4000,371,13
1,1,100,0,1,0,-200,0,371,16
0,0,60,0,-1,-5,80,4000,371,9
