"choice","access","cattle","cons150","cons75","cult","smlstk","wage","indiv_id","choice_id"
0,-1,0,1,-1,0,0,-10000,387,7
1,0,40,1,0,0,80,10000,387,5
0,-1,-100,0,-1,0,200,0,387,8
1,0,0,0,1,5,0,-10000,387,6
1,-1,100,0,0,0,0,-4000,387,2
0,0,-60,-1,1,5,0,0,387,1
0,0,0,0,0,-5,-80,10000,387,4
1,-1,-40,0,0,5,0,0,387,3
0,0,60,0,-1,-5,80,4000,388,9
1,0,60,1,0,0,120,0,388,12
1,1,0,1,-1,5,0,-6000,388,11
0,1,0,-1,0,0,-200,0,388,15
1,1,100,0,1,0,-200,0,388,16
0,0,-40,-1,1,-5,0,-4000,388,13
0,0,-60,-1,1,-5,0,4000,388,14
0,1,-60,0,-1,0,0,6000,388,10
