Res_ID	sur_point	date	FDA	sex	age	m_activity	write_read	schooling	adult	child	crop_income	live_income	off_income	other_income	land_farm	land_graze	L_quality	CL_access	env_mgt	type_mgt1	labour_fam1	labour_hire1	wage1	other_exp1	type_mgt2	labour_fam2	labour_hire2	wage2	other_exp2	mgt_type3	labour_fam3	labour_hire3	wage3	other_exp3	mgt_type4	labour_fam4	labour_hire4	wage4	other_exp4	mgt_type5	labour_fam5	labour_hire5	wage5	other_exp5	mgt_type6	labour_fam6	labour_hire6	wage6	other_exp6	No_reason1	No_reason2	No_reason3	livestock	ox	ox_value	cow	cow_value	horse	horse_value	calve	calve_value	donkey	donk_value	sheep	sheep_value	goat	goat_value	camel	camel_value	chicken	chick_value	pig	pig_value	rabbit	rabbit_value	far_union	prod_org	MKEPP	agro_forest	other_env	fina_access	mkt_access	env_info	debit	land_area	year	harvest_right	reward	local_admin	free_labour	Rating	LandArea20precent	LandArea40percent	CommitPeriod15yrs	CommitPeriod30yrs	HarvestNotPermitted	HarvestPartial	RewardExtensionFee	RewardElectricity	RewardCash	LocalAdminFDAC	LocalAdminCFA	FreeLabour2dys	FreeLabour3dys
"KI38"	13	13	"Kiriari"	1	55	10	1	23	7	2	35000	60000	0	45000	2.0	1.0	2.0	2	1	1	15	"0"	0	1800	4	15																											1	0	0	1	70000	0	0	1	15000	0	0	3	4500	0	0	0	0	5	1500	0	0	5	2000	1	1	1	1	2	1	2	1	1	"20%"	30	"not permitted"	"cash"	"CFA"	3	3	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
"KI38"	13	13	"Kiriari"	1	55	10	1	23	7	2	35000	60000	0	45000	2.0	1.0	2.0	2	1	1	15	"0"	0	1800	4	15																											1	0	0	1	70000	0	0	1	15000	0	0	3	4500	0	0	0	0	5	1500	0	0	5	2000	1	1	1	1	2	1	2	1	1	"10%"	30	"permitted"	"cash"	"CFA"	3	5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
"KI38"	13	13	"Kiriari"	1	55	10	1	23	7	2	35000	60000	0	45000	2.0	1.0	2.0	2	1	1	15	"0"	0	1800	4	15																											1	0	0	1	70000	0	0	1	15000	0	0	3	4500	0	0	0	0	5	1500	0	0	5	2000	1	1	1	1	2	1	2	1	1	"10%"	15	"partial"	"water"	"WRUA"	2	4	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"KI38"	13	13	"Kiriari"	1	55	10	1	23	7	2	35000	60000	0	45000	2.0	1.0	2.0	2	1	1	15	"0"	0	1800	4	15																											1	0	0	1	70000	0	0	1	15000	0	0	3	4500	0	0	0	0	5	1500	0	0	5	2000	1	1	1	1	2	1	2	1	1	"40%"	5	"permitted"	"electricity"	"FDAC"	1	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"KI45"	9	13	"Kiriari"	1	70	10	1	23	12	0	104000	0	0	0	2.0	1.0	2.0	2	1	7	12	"0"	0	0																													1	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	1	2	2	1	"40%"	5	"not permitted"	"cash"	"FDAC"	3	1	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
"KI45"	9	13	"Kiriari"	1	70	10	1	23	12	0	104000	0	0	0	2.0	1.0	2.0	2	1	7	12	"0"	0	0																													1	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	1	2	2	1	"40%"	15	"partial"	"cash"	"CFA"	3	1	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
"KI45"	9	13	"Kiriari"	1	70	10	1	23	12	0	104000	0	0	0	2.0	1.0	2.0	2	1	7	12	"0"	0	0																													1	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	1	2	2	1	"20%"	30	"permitted"	"extension"	"CFA"	2	1	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0
"KI45"	9	13	"Kiriari"	1	70	10	1	23	12	0	104000	0	0	0	2.0	1.0	2.0	2	1	7	12	"0"	0	0																													1	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	1	2	2	1	"10%"	15	"permitted"	"water"	"WRUA"	2	5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"KI45"	9	13	"Kiriari"	1	70	10	1	23	12	0	104000	0	0	0	2.0	1.0	2.0	2	1	7	12	"0"	0	0																													1	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	1	2	2	1	"20%"	5	"partial"	"elecricity"	"WRUA"	1	1	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"KI45"	9	13	"Kiriari"	1	70	10	1	23	12	0	104000	0	0	0	2.0	1.0	2.0	2	1	7	12	"0"	0	0																													1	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	1	2	2	1	"20%"	30	"not permitted"	"extension"	"FDAC"	3	1	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
"KI45"	9	13	"Kiriari"	1	70	10	1	23	12	0	104000	0	0	0	2.0	1.0	2.0	2	1	7	12	"0"	0	0																													1	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	1	2	2	1	"10%"	15	"not permitted"	"water"	"WRUA"	1	4	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"KI45"	9	13	"Kiriari"	1	70	10	1	23	12	0	104000	0	0	0	2.0	1.0	2.0	2	1	7	12	"0"	0	0																													1	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	1	2	2	1	"40%"	30	"permitted"	"electricity"	"WRUA"	1	4	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
