year	fips_state	s_black	SenElection	presyear	college	college_diff	pci_0000	prior_ue	partyspending	priorue_diff	spending_diff	share_open	share_qual_out2	open_all_share	quality_share_new	outparty_spend	share_open_diff	open_all_share_diff	share_qual_out2_diff	quality_share_diff	outparty_spend_diff	s_black_diff	pci0000_diff	senelec_diff	incparty	GubElection	vep	uerate
1980	33	0.004000000189989805	1	1.0	0.17228226	0.110778525	2.5648227	3.2	0.027689083			0.0	1.0	0.0	1.0	0.027689083				0.0	0.027689083	0.0	0.20270061	1.0		1	0.58	0.046
1980	34	0.10700000077486038	0	1.0	0.17675544	0.10943839	3.050822	6.9	0.057829037			0.1	0.44444445	0.0	0.2857143	0.04762991				-0.24761906	0.04762991	0.0	0.14059997	-1.0		0	0.58	0.073
1980	35	0.01899999938905239	0	1.0	0.14547604	0.07368334	2.176807	6.5	0.0			1.0		0.5	0.0	0.0				-0.5	0.0	0.0	0.090246916	-1.0		0	0.52	0.076
1980	36	0.11900000274181366	1	1.0	0.15287	0.085319944	2.8702707	7.2	0.113168135			0.07692308	0.25	0.0	0.17142858	0.08378795				0.017582417	0.08378795	0.0	0.046988726	0.0		0	0.52	0.075
1980	37	0.22300000488758087	1	1.0	0.12748425	0.07928275	2.1381361	4.8	0.0062155416			0.0	0.22222222	0.0	0.27272728	0.0062155416				-0.09090909	0.0062155416	0.0	0.0285182	1.0		1	0.44	0.064
1980	38	0.004000000189989805	1	1.0	0.1410607	0.09268731	2.0626233	4.0	0.04640465					1.0		0.04640465					0.04640465	0.0	-0.2832446	0.0		1	0.65	0.05
1980	39	0.09099999815225601	1	1.0	0.12992983	0.077273875	2.6186485	5.9	0.014093516			0.1	0.11111111	0.0	0.14285715	4.0949436E-4				-0.16149066	4.0949436E-4	0.0	0.06677055	0.0		0	0.56	0.085
1980	40	0.06700000166893005	1	1.0	0.1547486	0.09754033	2.4788582	3.3	0.1450234			0.2	0.25	0.0	0.4	0.1450234				0.23333333	0.1450234	0.0	0.2206862	1.0		0	0.53	0.044
1980	41	0.013000000268220901	1	1.0	0.16402657	0.09715895	2.635371	6.7	0.04810392			0.25	0.33333334	0.0	0.33333334	0.04810392				0.08333334	0.04810392	0.0	0.027926922	1.0		0	0.63	0.084
1980	42	0.0860000029206276	1	1.0	0.116023295	0.066353194	2.6233516	6.8	0.023744848			0.13333334	0.23076923	0.0	0.26086956	0.011304858				0.14086956	0.011304858	0.0	0.054463387	0.0		0	0.53	0.079
1980	44	0.027000000700354576	0	1.0	0.13489737	0.08171344	2.520142	6.3	0.03096463			0.0	0.0	0.0	0.0	0.03096463				0.0	0.03096463	0.0	0.10018611	-1.0		1	0.62	0.071
1980	45	0.3050000071525574	1	1.0	0.11679389	0.06588292	2.0213394	4.9	0.055172026			0.25	0.33333334	0.16666667	0.4	0.019160522				0.06666666	0.019160522	0.0	0.034949422	1.0		0	0.41	0.066
1980	46	0.003000000026077032	1	1.0	0.13523914	0.08627247	2.1044297	3.4	0.0			0.0	1.0	0.5	1.0	0.0				0.5	0.0	0.0	-0.012370348	1.0		0	0.68	0.047
1980	47	0.16200000047683716	0	1.0	0.13069306	0.08574003	2.149633	6.1	0.005566793			0.0	0.0	0.0	0.0	0.0				-0.5	0.0	0.0	0.044173002	-1.0		0	0.49	0.073
1980	48	0.12999999523162842	0	1.0	0.14492753	0.08320597	2.5789323	4.5	0.04230686			0.1	0.11111111	0.0	0.09090909	0.0				-0.117424235	0.0	0.0	0.17976618	-1.0		0	0.47	0.051999997
1980	49	0.006000000052154064	1	1.0	0.17875648	0.099111915	2.2188747	4.4	0.015697652			0.0	1.0	0.0	1.0	0.015697652				1.0	0.015697652	0.0	0.043484688	0.0		1	0.66	0.065
1980	50	0.0020000000949949026	1	1.0	0.16533333	0.09457874	2.2468326	5.0	0.089940466					0.0	0.0	0.089940466				-1.0	0.089940466	0.0	0.074466705	0.0		1	0.59	0.063
1980	51	0.18799999356269836	0	1.0	0.19086711	0.12078832	2.640858	4.7	0.025447028			0.25	0.33333334	0.0	0.11111111	0.025447028				-0.2888889	0.025447028	0.0	0.1653359	-1.0		0	0.49	0.051999997
1980	53	0.020999999716877937	1	1.0	0.18021978	0.107937574	2.824545	6.7	0.023233661			0.0	0.33333334	0.0	0.2857143	0.023233661				0.14285715	0.023233661	0.0	0.11617494	0.0		1	0.6	0.079
1980	54	0.03799999877810478	0	1.0	0.07982013	0.041164663	2.1075652	6.9	0.004708841			0.25	0.0	0.0	0.0	0.004708841				-0.25	0.004708841	0.0	0.040661335	-1.0		1	0.53	0.096
1980	55	0.028999999165534973	1	1.0	0.1603099	0.10482104	2.6351097	4.5	0.019663293			0.0	0.5	0.0	0.5555556	0.019663293				0.44444448	0.019663293	0.0	0.110447645	0.0		0	0.68	0.073
1980	56	0.007000000216066837	0	1.0	0.17852062	0.11063334	3.0487316	2.6	0.0					0.0	0.0	0.0				0.0	0.0	0.0	0.31805944	-1.0		0	0.54	0.04
1982	1	0.2558581531047821	1	0.0	0.1020649	0.10134259	2.0419028	9.8	0.0	3.0		0.0	0.6666667	0.0	0.5714286	0.0	-0.25	0.0	0.6666667	0.2857143		-0.0071418583	-0.09121704	0.0	0.0	1	0.41	0.132
1982	2	0.03421168401837349	1	0.0	0.17876343	0.11848578	4.198707	9.1	0.0	-0.5999994		0.0	0.0	0.0	0.0	0.0		0.0		-1.0		0.005211685	0.07535696	0.0	1.0	1	0.63	0.098000005
1982	4	0.027282241731882095	0	0.0	0.1521739	0.09818633	2.427883	6.2	0.0	-2.1999998		0.33333334	0.0	0.0	0.33333334	0.0	0.33333334	0.0	-0.5	0.08333334		-0.0027177576	-0.05767703	0.0	0.0	1	0.36	0.1
1982	5	0.1631469875574112	1	0.0	0.08427877	0.05570904	1.9961653	8.5	0.0	2.1		0.0	0.5	0.0	0.25	0.0	-0.6666667	-0.25	0.5	0.25		-0.01985301	-0.13860464	0.0	1.0	1	0.48	0.095
1982	6	0.07684078067541122	0	0.0	0.18924998	0.13141516	3.0659776	7.4	0.0027609968	-0.9999995		0.11764706	0.26666668	0.0	0.22857143	0.0027609968	-0.020283975	0.0	0.18666668	0.1820598		0.0068407804	-0.0927825	0.0	0.0	1	0.49	0.1
1982	8	0.03518902137875557	1	0.0	0.21408609	0.15001047	2.8790116	5.6	0.0	-0.7000003		0.0	0.0	0.0	0.4	0.0	-0.33333334	0.0	-0.5	0.0		0.005189022	0.07896161	0.0	0.0	1	0.44	0.078
1982	9	0.06971382349729538	0	0.0	0.22426778	0.16541657	3.3129606	6.1	0.008911219	-1.0		0.0	0.0	0.0	0.2	0.001980271	0.0	0.0	0.0	0.03333333		0.009713825	0.12648058	0.0	0.0	1	0.48	0.069
1982	10	0.16178840398788452	1	0.0	0.16911046	0.11239354	2.8299272	7.9	0.0	-0.2999997		0.0	1.0	0.0	1.0	0.0		0.0		1.0		0.018788397	-0.015992641	0.0		0	0.44	0.08
1982	12	0.13780929148197174	0	0.0	0.13231486	0.08830417	2.6063712	6.8	0.0	-1.5		0.25	1.0	0.0	0.21428572	0.0	0.049999997	0.0	1.0	0.14761904		-0.018190712	0.018841028	0.0	0.0	1	0.36	0.084
1982	13	0.268059104681015	1	0.0	0.13767396	0.09804901	2.2402475	6.5	0.002262144	-0.4000001		0.0	1.0	0.0	0.14285715	0.0	-0.1	0.0	1.0	0.14285715		0.009059101	-0.05358267	0.0	0.0	1	0.3	0.077
1982	15	0.018334368243813515	0	0.0	0.22537711	0.16518143	2.8513458	5.1	0.0	-2.6				0.0	0.5	0.0		0.0		0.5		0.0083343685	-0.1552844	0.0	0.0	1	0.46	0.059
1982	16	0.0028720200061798096	1	0.0	0.13537118	0.09239167	2.1467645	7.6	0.0	2.0		0.0	0.0	0.0	0.0	0.0		0.0		-1.0		-1.2798002E-4	-0.24672556	0.0	0.0	1	0.5	0.09
