age	educ	income	fips_state	black	other	hisp	female	married	republican	democrat	unemployed	incomedk	partyvote	uerate	totalspend_voter_inf
36.0	3	4	39	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.055	1.5178543
54.0	2	4	9	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.053000003	1.812191
39.0	4	5	9	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.053000003	1.812191
36.0	3	5	17	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.06	1.37532
63.0	2	3	36	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.078	2.3452868
37.0	2	3	36	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.078	2.3452868
28.0	2	3	36	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	0.078	2.3452868
22.0	2	2	39	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.055	1.5178543
20.0	3	2	39	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.055	1.5178543
21.0	2	2	12	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
59.0	3	4	12	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.068	2.1497788
39.0	2	4	39	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.055	1.5178543
65.0	2	4	39	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.055	1.5178543
20.0	2	2	17	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.06	1.37532
78.0	1	2	17	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.06	1.37532
33.0	2	4	17	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.06	1.37532
68.0	3	2	17	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.06	1.37532
58.0	4	4	13	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.056999996	0.2540245
88.0	1	1	13	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.056999996	0.2540245
	2	2	25	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.062	1.0958376
32.0	3	3	1	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.059	2.665316
18.0	3	4	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.059	2.665316
33.0	2	2	13	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.056999996	0.2540245
48.0	2	1	13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.056999996	0.2540245
70.0	2	1	13	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.056999996	0.2540245
61.0	2	5	17	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.06	1.37532
27.0	3	3	12	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	0.068	2.1497788
20.0	3	4	39	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.055	1.5178543
55.0	2	5	17	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.06	1.37532
54.0	3	3	17	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.06	1.37532
59.0	1	2	23	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.063	1.5496294
57.0	2	2	23	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.063	1.5496294
25.0	2	4	17	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.06	1.37532
21.0	2	1	1	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.059	2.665316
46.0	2	1	1	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	0.059	2.665316
19.0	3	3	40	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.036	1.5357928
